cyclone_id,t_zero,t_minus_24h,t_plus_24h,origin_lat,origin_lon,origin_wind,target_6h_lat,target_6h_lon,target_6h_wind,target_12h_lat,target_12h_lon,target_12h_wind,target_24h_lat,target_24h_lon,target_24h_wind,quality_status,quality_detail,source_split,original_sample_index
2013130N04093,2013-05-12 15:00:00,2013-05-11 15:00:00,2013-05-13 15:00:00,10.5,86.7,74.1,11.0,86.5,74.1,11.8,86.4,74.1,12.6,85.7,74.1,CLEAN,CLEAN,train,15
2013130N04093,2013-05-12 18:00:00,2013-05-11 18:00:00,2013-05-13 18:00:00,10.9,86.6,74.1,11.5,86.5,74.1,12.0,86.4,74.1,12.8,85.5,74.1,CLEAN,CLEAN,train,16
2013130N04093,2013-05-12 21:00:00,2013-05-11 21:00:00,2013-05-13 21:00:00,11.0,86.5,74.1,11.8,86.4,74.1,12.0,85.9,74.1,13.2,85.4,74.1,CLEAN,CLEAN,train,17
2013130N04093,2013-05-13 00:00:00,2013-05-12 00:00:00,2013-05-14 00:00:00,11.5,86.5,74.1,12.0,86.4,74.1,12.2,85.8,74.1,13.6,85.5,74.1,CLEAN,CLEAN,train,18
2013130N04093,2013-05-13 03:00:00,2013-05-12 03:00:00,2013-05-14 03:00:00,11.8,86.4,74.1,12.0,85.9,74.1,12.6,85.7,74.1,13.7,85.5,74.1,CLEAN,CLEAN,train,19
2013130N04093,2013-05-13 06:00:00,2013-05-12 06:00:00,2013-05-14 06:00:00,12.0,86.4,74.1,12.2,85.8,74.1,12.8,85.5,74.1,14.1,85.7,74.1,CLEAN,CLEAN,train,20
2013130N04093,2013-05-13 09:00:00,2013-05-12 09:00:00,2013-05-14 09:00:00,12.0,85.9,74.1,12.6,85.7,74.1,13.2,85.4,74.1,14.2,85.7,74.1,CLEAN,CLEAN,train,21
2013130N04093,2013-05-13 12:00:00,2013-05-12 12:00:00,2013-05-14 12:00:00,12.2,85.8,74.1,12.8,85.5,74.1,13.6,85.5,74.1,14.6,86.1,74.1,CLEAN,CLEAN,train,22
2013130N04093,2013-05-13 15:00:00,2013-05-12 15:00:00,2013-05-14 15:00:00,12.6,85.7,74.1,13.2,85.4,74.1,13.7,85.5,74.1,14.8,86.2,74.1,CLEAN,CLEAN,train,23
2013130N04093,2013-05-13 18:00:00,2013-05-12 18:00:00,2013-05-14 18:00:00,12.8,85.5,74.1,13.6,85.5,74.1,14.1,85.7,74.1,15.3,86.6,74.1,CLEAN,CLEAN,train,24
2013130N04093,2013-05-13 21:00:00,2013-05-12 21:00:00,2013-05-14 21:00:00,13.2,85.4,74.1,13.7,85.5,74.1,14.2,85.7,74.1,15.8,86.7,74.1,CLEAN,CLEAN,train,25
2013130N04093,2013-05-14 00:00:00,2013-05-13 00:00:00,2013-05-15 00:00:00,13.6,85.5,74.1,14.1,85.7,74.1,14.6,86.1,74.1,16.3,87.1,74.1,CLEAN,CLEAN,train,26
2013130N04093,2013-05-14 03:00:00,2013-05-13 03:00:00,2013-05-15 03:00:00,13.7,85.5,74.1,14.2,85.7,74.1,14.8,86.2,74.1,16.7,87.2,74.1,CLEAN,CLEAN,train,27
2013130N04093,2013-05-14 06:00:00,2013-05-13 06:00:00,2013-05-15 06:00:00,14.1,85.7,74.1,14.6,86.1,74.1,15.3,86.6,74.1,17.3,87.6,83.3,CLEAN,CLEAN,train,28
2013130N04093,2013-05-14 09:00:00,2013-05-13 09:00:00,2013-05-15 09:00:00,14.2,85.7,74.1,14.8,86.2,74.1,15.8,86.7,74.1,17.7,87.7,83.3,CLEAN,CLEAN,train,29
2013130N04093,2013-05-14 12:00:00,2013-05-13 12:00:00,2013-05-15 12:00:00,14.6,86.1,74.1,15.3,86.6,74.1,16.3,87.1,74.1,18.3,88.2,83.3,CLEAN,CLEAN,train,30
2013130N04093,2013-05-14 15:00:00,2013-05-13 15:00:00,2013-05-15 15:00:00,14.8,86.2,74.1,15.8,86.7,74.1,16.7,87.2,74.1,18.8,88.6,83.3,CLEAN,CLEAN,train,31
2013130N04093,2013-05-14 18:00:00,2013-05-13 18:00:00,2013-05-15 18:00:00,15.3,86.6,74.1,16.3,87.1,74.1,17.3,87.6,83.3,19.3,88.8,83.3,CLEAN,CLEAN,train,32
2013130N04093,2013-05-14 21:00:00,2013-05-13 21:00:00,2013-05-15 21:00:00,15.8,86.7,74.1,16.7,87.2,74.1,17.7,87.7,83.3,19.8,89.2,83.3,CLEAN,CLEAN,train,33
2013130N04093,2013-05-15 00:00:00,2013-05-14 00:00:00,2013-05-16 00:00:00,16.3,87.1,74.1,17.3,87.6,83.3,18.3,88.2,83.3,20.4,89.7,83.3,CLEAN,CLEAN,train,34
2013130N04093,2013-05-15 03:00:00,2013-05-14 03:00:00,2013-05-16 03:00:00,16.7,87.2,74.1,17.7,87.7,83.3,18.8,88.6,83.3,21.2,90.2,83.3,CLEAN,CLEAN,train,35
2013130N04093,2013-05-15 06:00:00,2013-05-14 06:00:00,2013-05-16 06:00:00,17.3,87.6,83.3,18.3,88.2,83.3,19.3,88.8,83.3,22.5,91.0,83.3,CLEAN,CLEAN,train,36
2013130N04093,2013-05-15 09:00:00,2013-05-14 09:00:00,2013-05-16 09:00:00,17.7,87.7,83.3,18.8,88.6,83.3,19.8,89.2,83.3,23.4,91.9,74.1,CLEAN,CLEAN,train,37
2013130N04093,2013-05-15 12:00:00,2013-05-14 12:00:00,2013-05-16 12:00:00,18.3,88.2,83.3,19.3,88.8,83.3,20.4,89.7,83.3,24.1,92.5,55.6,CLEAN,CLEAN,train,38
2013130N04093,2013-05-15 15:00:00,2013-05-14 15:00:00,2013-05-16 15:00:00,18.8,88.6,83.3,19.8,89.2,83.3,21.2,90.2,83.3,24.5,93.0,51.9,CLEAN,CLEAN,train,39
2013130N04093,2013-05-15 18:00:00,2013-05-14 18:00:00,2013-05-16 18:00:00,19.3,88.8,83.3,20.4,89.7,83.3,22.5,91.0,83.3,25.0,93.5,46.3,CLEAN,CLEAN,train,40
2013281N12098,2013-10-09 03:00:00,2013-10-08 03:00:00,2013-10-10 03:00:00,13.2,93.3,55.6,13.5,92.5,55.6,13.7,92.3,64.8,14.6,91.0,101.9,CLEAN,CLEAN,train,46
2013281N12098,2013-10-09 06:00:00,2013-10-08 06:00:00,2013-10-10 06:00:00,13.2,92.9,55.6,13.6,92.4,64.8,14.0,91.9,74.1,15.0,90.7,120.4,CLEAN,CLEAN,train,47
2013281N12098,2013-10-09 09:00:00,2013-10-08 09:00:00,2013-10-10 09:00:00,13.5,92.5,55.6,13.7,92.3,64.8,14.1,91.8,83.3,15.1,90.5,129.6,CLEAN,CLEAN,train,48
2013281N12098,2013-10-09 12:00:00,2013-10-08 12:00:00,2013-10-10 12:00:00,13.6,92.4,64.8,14.0,91.9,74.1,14.5,91.4,83.3,15.4,90.1,138.9,CLEAN,CLEAN,train,49
2013281N12098,2013-10-09 15:00:00,2013-10-08 15:00:00,2013-10-10 15:00:00,13.7,92.3,64.8,14.1,91.8,83.3,14.6,91.0,101.9,15.5,89.9,166.7,CLEAN,CLEAN,train,50
2013281N12098,2013-10-09 18:00:00,2013-10-08 18:00:00,2013-10-10 18:00:00,14.0,91.9,74.1,14.5,91.4,83.3,15.0,90.7,120.4,15.6,89.5,175.9,CLEAN,CLEAN,train,51
2013281N12098,2013-10-09 21:00:00,2013-10-08 21:00:00,2013-10-10 21:00:00,14.1,91.8,83.3,14.6,91.0,101.9,15.1,90.5,129.6,15.6,89.0,185.2,CLEAN,CLEAN,train,52
2013281N12098,2013-10-10 00:00:00,2013-10-09 00:00:00,2013-10-11 00:00:00,14.5,91.4,83.3,15.0,90.7,120.4,15.4,90.1,138.9,15.9,88.6,203.7,CLEAN,CLEAN,train,53
2013281N12098,2013-10-10 03:00:00,2013-10-09 03:00:00,2013-10-11 03:00:00,14.6,91.0,101.9,15.1,90.5,129.6,15.5,89.9,166.7,15.9,88.5,213.0,CLEAN,CLEAN,train,54
2013281N12098,2013-10-10 06:00:00,2013-10-09 06:00:00,2013-10-11 06:00:00,15.0,90.7,120.4,15.4,90.1,138.9,15.6,89.5,175.9,16.2,88.3,213.0,CLEAN,CLEAN,train,55
2013281N12098,2013-10-10 09:00:00,2013-10-09 09:00:00,2013-10-11 09:00:00,15.1,90.5,129.6,15.5,89.9,166.7,15.6,89.0,185.2,16.5,88.0,213.0,CLEAN,CLEAN,train,56
2013281N12098,2013-10-10 12:00:00,2013-10-09 12:00:00,2013-10-11 12:00:00,15.4,90.1,138.9,15.6,89.5,175.9,15.9,88.6,203.7,16.8,87.7,213.0,CLEAN,CLEAN,train,57
2013281N12098,2013-10-10 15:00:00,2013-10-09 15:00:00,2013-10-11 15:00:00,15.5,89.9,166.7,15.6,89.0,185.2,15.9,88.5,213.0,16.8,87.3,213.0,CLEAN,CLEAN,train,58
2013281N12098,2013-10-10 18:00:00,2013-10-09 18:00:00,2013-10-11 18:00:00,15.6,89.5,175.9,15.9,88.6,203.7,16.2,88.3,213.0,16.9,87.0,213.0,CLEAN,CLEAN,train,59
2013281N12098,2013-10-10 21:00:00,2013-10-09 21:00:00,2013-10-11 21:00:00,15.6,89.0,185.2,15.9,88.5,213.0,16.5,88.0,213.0,17.1,86.7,213.0,CLEAN,CLEAN,train,60
2013281N12098,2013-10-11 00:00:00,2013-10-10 00:00:00,2013-10-12 00:00:00,15.9,88.6,203.7,16.2,88.3,213.0,16.8,87.7,213.0,17.5,86.5,213.0,CLEAN,CLEAN,train,61
2013281N12098,2013-10-11 03:00:00,2013-10-10 03:00:00,2013-10-12 03:00:00,15.9,88.5,213.0,16.5,88.0,213.0,16.8,87.3,213.0,17.7,86.0,213.0,CLEAN,CLEAN,train,62
2013281N12098,2013-10-11 06:00:00,2013-10-10 06:00:00,2013-10-12 06:00:00,16.2,88.3,213.0,16.8,87.7,213.0,16.9,87.0,213.0,18.1,85.8,213.0,CLEAN,CLEAN,train,63
2013281N12098,2013-10-11 09:00:00,2013-10-10 09:00:00,2013-10-12 09:00:00,16.5,88.0,213.0,16.8,87.3,213.0,17.1,86.7,213.0,18.5,85.4,213.0,CLEAN,CLEAN,train,64
2013281N12098,2013-10-11 12:00:00,2013-10-10 12:00:00,2013-10-12 12:00:00,16.8,87.7,213.0,16.9,87.0,213.0,17.5,86.5,213.0,18.7,85.2,213.0,CLEAN,CLEAN,train,65
2013281N12098,2013-10-11 15:00:00,2013-10-10 15:00:00,2013-10-12 15:00:00,16.8,87.3,213.0,17.1,86.7,213.0,17.7,86.0,213.0,19.1,85.1,213.0,CLEAN,CLEAN,train,66
2013281N12098,2013-10-11 18:00:00,2013-10-10 18:00:00,2013-10-12 18:00:00,16.9,87.0,213.0,17.5,86.5,213.0,18.1,85.8,213.0,19.5,84.9,185.2,CLEAN,CLEAN,train,67
2013281N12098,2013-10-11 21:00:00,2013-10-10 21:00:00,2013-10-12 21:00:00,17.1,86.7,213.0,17.7,86.0,213.0,18.5,85.4,213.0,19.9,84.6,166.7,CLEAN,CLEAN,train,68
2013281N12098,2013-10-12 00:00:00,2013-10-11 00:00:00,2013-10-13 00:00:00,17.5,86.5,213.0,18.1,85.8,213.0,18.7,85.2,213.0,20.4,84.5,138.9,CLEAN,CLEAN,train,69
2013281N12098,2013-10-12 03:00:00,2013-10-11 03:00:00,2013-10-13 03:00:00,17.7,86.0,213.0,18.5,85.4,213.0,19.1,85.1,213.0,20.9,84.1,101.9,CLEAN,CLEAN,train,70
2013281N12098,2013-10-12 06:00:00,2013-10-11 06:00:00,2013-10-13 06:00:00,18.1,85.8,213.0,18.7,85.2,213.0,19.5,84.9,185.2,21.5,84.0,74.1,CLEAN,CLEAN,train,71
2013281N12098,2013-10-12 09:00:00,2013-10-11 09:00:00,2013-10-13 09:00:00,18.5,85.4,213.0,19.1,85.1,213.0,19.9,84.6,166.7,22.0,83.9,64.8,CLEAN,CLEAN,train,72
2013281N12098,2013-10-12 12:00:00,2013-10-11 12:00:00,2013-10-13 12:00:00,18.7,85.2,213.0,19.5,84.9,185.2,20.4,84.5,138.9,22.6,83.9,64.8,CLEAN,CLEAN,train,73
2013281N12098,2013-10-12 15:00:00,2013-10-11 15:00:00,2013-10-13 15:00:00,19.1,85.1,213.0,19.9,84.6,166.7,20.9,84.1,101.9,22.8,83.6,61.1,CLEAN,CLEAN,train,74
2013305N07141,2013-11-14 00:00:00,2013-11-13 00:00:00,2013-11-15 00:00:00,11.1,85.3,46.3,11.0,85.2,46.3,10.4,84.9,46.3,9.7,84.1,46.3,CLEAN,CLEAN,train,174
2013305N07141,2013-11-14 03:00:00,2013-11-13 03:00:00,2013-11-15 03:00:00,11.1,85.2,46.3,10.7,85.0,46.3,10.2,84.7,46.3,9.4,83.7,46.3,CLEAN,CLEAN,train,175
2013305N07141,2013-11-14 06:00:00,2013-11-13 06:00:00,2013-11-15 06:00:00,11.0,85.2,46.3,10.4,84.9,46.3,10.1,84.6,46.3,9.4,83.5,46.3,CLEAN,CLEAN,train,176
2013305N07141,2013-11-14 09:00:00,2013-11-13 09:00:00,2013-11-15 09:00:00,10.7,85.0,46.3,10.2,84.7,46.3,9.9,84.4,46.3,9.5,83.2,46.3,CLEAN,CLEAN,train,177
2013305N07141,2013-11-14 12:00:00,2013-11-13 12:00:00,2013-11-15 12:00:00,10.4,84.9,46.3,10.1,84.6,46.3,9.7,84.1,46.3,9.6,82.9,46.3,CLEAN,CLEAN,train,178
2013305N07141,2013-11-14 15:00:00,2013-11-13 15:00:00,2013-11-15 15:00:00,10.2,84.7,46.3,9.9,84.4,46.3,9.4,83.7,46.3,9.9,82.4,46.3,CLEAN,CLEAN,train,179
2013305N07141,2013-11-14 18:00:00,2013-11-13 18:00:00,2013-11-15 18:00:00,10.1,84.6,46.3,9.7,84.1,46.3,9.4,83.5,46.3,10.2,82.0,46.3,CLEAN,CLEAN,train,180
2013305N07141,2013-11-14 21:00:00,2013-11-13 21:00:00,2013-11-15 21:00:00,9.9,84.4,46.3,9.4,83.7,46.3,9.5,83.2,46.3,10.4,81.7,46.3,CLEAN,CLEAN,train,181
2013305N07141,2013-11-15 00:00:00,2013-11-14 00:00:00,2013-11-16 00:00:00,9.7,84.1,46.3,9.4,83.5,46.3,9.6,82.9,46.3,10.6,81.3,46.3,CLEAN,CLEAN,train,182
2013305N07141,2013-11-15 03:00:00,2013-11-14 03:00:00,2013-11-16 03:00:00,9.4,83.7,46.3,9.5,83.2,46.3,9.9,82.4,46.3,10.9,80.5,46.3,CLEAN,CLEAN,train,183
2013305N07141,2013-11-15 06:00:00,2013-11-14 06:00:00,2013-11-16 06:00:00,9.4,83.5,46.3,9.6,82.9,46.3,10.2,82.0,46.3,11.0,80.0,46.3,CLEAN,CLEAN,train,184
2013305N07141,2013-11-15 09:00:00,2013-11-14 09:00:00,2013-11-16 09:00:00,9.5,83.2,46.3,9.9,82.4,46.3,10.4,81.7,46.3,11.1,79.5,46.3,CLEAN,CLEAN,train,185
2013305N07141,2013-11-15 12:00:00,2013-11-14 12:00:00,2013-11-16 12:00:00,9.6,82.9,46.3,10.2,82.0,46.3,10.6,81.3,46.3,11.1,78.9,46.3,CLEAN,CLEAN,train,186
2013305N07141,2013-11-15 15:00:00,2013-11-14 15:00:00,2013-11-16 15:00:00,9.9,82.4,46.3,10.4,81.7,46.3,10.9,80.5,46.3,11.2,78.3,46.3,CLEAN,CLEAN,train,187
2013305N07141,2013-11-15 18:00:00,2013-11-14 18:00:00,2013-11-16 18:00:00,10.2,82.0,46.3,10.6,81.3,46.3,11.0,80.0,46.3,11.3,77.6,46.3,CLEAN,CLEAN,train,188
2013322N13090,2013-11-20 00:00:00,2013-11-19 00:00:00,2013-11-21 00:00:00,15.1,84.1,55.6,15.3,84.1,74.1,15.4,84.0,83.3,15.7,83.6,92.6,CLEAN,CLEAN,train,231
2013322N13090,2013-11-20 03:00:00,2013-11-19 03:00:00,2013-11-21 03:00:00,15.1,84.1,64.8,15.3,84.0,74.1,15.4,83.9,83.3,15.8,83.4,92.6,CLEAN,CLEAN,train,232
2013322N13090,2013-11-20 06:00:00,2013-11-19 06:00:00,2013-11-21 06:00:00,15.3,84.1,74.1,15.4,84.0,83.3,15.5,83.8,83.3,15.9,83.3,101.9,CLEAN,CLEAN,train,233
2013322N13090,2013-11-20 09:00:00,2013-11-19 09:00:00,2013-11-21 09:00:00,15.3,84.0,74.1,15.4,83.9,83.3,15.6,83.7,83.3,16.0,83.1,101.9,CLEAN,CLEAN,train,234
2013322N13090,2013-11-20 12:00:00,2013-11-19 12:00:00,2013-11-21 12:00:00,15.4,84.0,83.3,15.5,83.8,83.3,15.7,83.6,92.6,16.1,83.0,101.9,CLEAN,CLEAN,train,235
2013322N13090,2013-11-20 15:00:00,2013-11-19 15:00:00,2013-11-21 15:00:00,15.4,83.9,83.3,15.6,83.7,83.3,15.8,83.4,92.6,16.1,82.7,101.9,CLEAN,CLEAN,train,236
2013322N13090,2013-11-20 18:00:00,2013-11-19 18:00:00,2013-11-21 18:00:00,15.5,83.8,83.3,15.7,83.6,92.6,15.9,83.3,101.9,16.2,82.6,101.9,CLEAN,CLEAN,train,237
2013322N13090,2013-11-20 21:00:00,2013-11-19 21:00:00,2013-11-21 21:00:00,15.6,83.7,83.3,15.8,83.4,92.6,16.0,83.1,101.9,16.1,82.3,101.9,CLEAN,CLEAN,train,238
2013322N13090,2013-11-21 00:00:00,2013-11-20 00:00:00,2013-11-22 00:00:00,15.7,83.6,92.6,15.9,83.3,101.9,16.1,83.0,101.9,16.2,82.0,101.9,CLEAN,CLEAN,train,239
2013322N13090,2013-11-21 03:00:00,2013-11-20 03:00:00,2013-11-22 03:00:00,15.8,83.4,92.6,16.0,83.1,101.9,16.1,82.7,101.9,16.2,81.7,101.9,CLEAN,CLEAN,train,240
2013322N13090,2013-11-21 06:00:00,2013-11-20 06:00:00,2013-11-22 06:00:00,15.9,83.3,101.9,16.1,83.0,101.9,16.2,82.6,101.9,16.2,81.4,101.9,CLEAN,CLEAN,train,241
2013322N13090,2013-11-21 09:00:00,2013-11-20 09:00:00,2013-11-22 09:00:00,16.0,83.1,101.9,16.1,82.7,101.9,16.1,82.3,101.9,16.0,81.2,74.1,CLEAN,CLEAN,train,242
2013322N13090,2013-11-21 12:00:00,2013-11-20 12:00:00,2013-11-22 12:00:00,16.1,83.0,101.9,16.2,82.6,101.9,16.2,82.0,101.9,15.8,80.8,55.6,CLEAN,CLEAN,train,243
2013322N13090,2013-11-21 15:00:00,2013-11-20 15:00:00,2013-11-22 15:00:00,16.1,82.7,101.9,16.1,82.3,101.9,16.2,81.7,101.9,15.9,80.5,51.9,CLEAN,CLEAN,train,244
2013322N13090,2013-11-21 18:00:00,2013-11-20 18:00:00,2013-11-22 18:00:00,16.2,82.6,101.9,16.2,82.0,101.9,16.2,81.4,101.9,16.1,80.2,46.3,CLEAN,CLEAN,train,245
2013324N07103,2013-11-24 12:00:00,2013-11-23 12:00:00,2013-11-25 12:00:00,11.0,93.7,83.3,11.5,93.2,83.3,11.8,92.6,101.9,12.3,91.6,111.1,CLEAN,CLEAN,train,280
2013324N07103,2013-11-24 15:00:00,2013-11-23 15:00:00,2013-11-25 15:00:00,11.1,93.5,83.3,11.5,92.7,83.3,11.9,92.2,101.9,12.3,91.2,111.1,CLEAN,CLEAN,train,281
2013324N07103,2013-11-24 18:00:00,2013-11-23 18:00:00,2013-11-25 18:00:00,11.5,93.2,83.3,11.8,92.6,101.9,12.0,91.9,101.9,12.4,91.1,101.9,CLEAN,CLEAN,train,282
2013324N07103,2013-11-24 21:00:00,2013-11-23 21:00:00,2013-11-25 21:00:00,11.5,92.7,83.3,11.9,92.2,101.9,12.0,91.7,111.1,12.4,90.9,120.4,CLEAN,CLEAN,train,283
2013324N07103,2013-11-25 00:00:00,2013-11-24 00:00:00,2013-11-26 00:00:00,11.8,92.6,101.9,12.0,91.9,101.9,12.3,91.6,111.1,12.5,90.5,129.6,CLEAN,CLEAN,train,284
2013324N07103,2013-11-25 03:00:00,2013-11-24 03:00:00,2013-11-26 03:00:00,11.9,92.2,101.9,12.0,91.7,111.1,12.3,91.2,111.1,12.5,90.1,129.6,CLEAN,CLEAN,train,285
2013324N07103,2013-11-25 06:00:00,2013-11-24 06:00:00,2013-11-26 06:00:00,12.0,91.9,101.9,12.3,91.6,111.1,12.4,91.1,101.9,12.6,89.6,129.6,CLEAN,CLEAN,train,286
2013324N07103,2013-11-25 09:00:00,2013-11-24 09:00:00,2013-11-26 09:00:00,12.0,91.7,111.1,12.3,91.2,111.1,12.4,90.9,120.4,12.9,89.1,129.6,CLEAN,CLEAN,train,287
2013324N07103,2013-11-25 12:00:00,2013-11-24 12:00:00,2013-11-26 12:00:00,12.3,91.6,111.1,12.4,91.1,101.9,12.5,90.5,129.6,13.0,88.7,129.6,CLEAN,CLEAN,train,288
2013324N07103,2013-11-25 15:00:00,2013-11-24 15:00:00,2013-11-26 15:00:00,12.3,91.2,111.1,12.4,90.9,120.4,12.5,90.1,129.6,13.0,88.5,129.6,CLEAN,CLEAN,train,289
2013324N07103,2013-11-25 18:00:00,2013-11-24 18:00:00,2013-11-26 18:00:00,12.4,91.1,101.9,12.5,90.5,129.6,12.6,89.6,129.6,13.2,88.1,138.9,CLEAN,CLEAN,train,290
2013324N07103,2013-11-25 21:00:00,2013-11-24 21:00:00,2013-11-26 21:00:00,12.4,90.9,120.4,12.5,90.1,129.6,12.9,89.1,129.6,13.3,87.5,138.9,CLEAN,CLEAN,train,291
2013324N07103,2013-11-26 00:00:00,2013-11-25 00:00:00,2013-11-27 00:00:00,12.5,90.5,129.6,12.6,89.6,129.6,13.0,88.7,129.6,13.6,87.0,138.9,CLEAN,CLEAN,train,292
2013324N07103,2013-11-26 03:00:00,2013-11-25 03:00:00,2013-11-27 03:00:00,12.5,90.1,129.6,12.9,89.1,129.6,13.0,88.5,129.6,13.6,86.5,138.9,CLEAN,CLEAN,train,293
2013324N07103,2013-11-26 06:00:00,2013-11-25 06:00:00,2013-11-27 06:00:00,12.6,89.6,129.6,13.0,88.7,129.6,13.2,88.1,138.9,13.9,86.0,129.6,CLEAN,CLEAN,train,294
2013324N07103,2013-11-26 09:00:00,2013-11-25 09:00:00,2013-11-27 09:00:00,12.9,89.1,129.6,13.0,88.5,129.6,13.3,87.5,138.9,14.0,85.5,120.4,CLEAN,CLEAN,train,295
2013324N07103,2013-11-26 12:00:00,2013-11-25 12:00:00,2013-11-27 12:00:00,13.0,88.7,129.6,13.2,88.1,138.9,13.6,87.0,138.9,14.2,85.1,101.9,CLEAN,CLEAN,train,296
2013324N07103,2013-11-26 15:00:00,2013-11-25 15:00:00,2013-11-27 15:00:00,13.0,88.5,129.6,13.3,87.5,138.9,13.6,86.5,138.9,14.2,84.6,101.9,CLEAN,CLEAN,train,297
2013324N07103,2013-11-26 18:00:00,2013-11-25 18:00:00,2013-11-27 18:00:00,13.2,88.1,138.9,13.6,87.0,138.9,13.9,86.0,129.6,14.6,84.1,83.3,CLEAN,CLEAN,train,298
2013324N07103,2013-11-26 21:00:00,2013-11-25 21:00:00,2013-11-27 21:00:00,13.3,87.5,138.9,13.6,86.5,138.9,14.0,85.5,120.4,14.7,83.6,74.1,CLEAN,CLEAN,train,299
2013324N07103,2013-11-27 00:00:00,2013-11-26 00:00:00,2013-11-28 00:00:00,13.6,87.0,138.9,13.9,86.0,129.6,14.2,85.1,101.9,15.1,82.5,55.6,CLEAN,CLEAN,train,300
2013324N07103,2013-11-27 03:00:00,2013-11-26 03:00:00,2013-11-28 03:00:00,13.6,86.5,138.9,14.0,85.5,120.4,14.2,84.6,101.9,15.3,82.1,55.6,CLEAN,CLEAN,train,301
2013324N07103,2013-11-27 06:00:00,2013-11-26 06:00:00,2013-11-28 06:00:00,13.9,86.0,129.6,14.2,85.1,101.9,14.6,84.1,83.3,15.3,81.7,55.6,CLEAN,CLEAN,train,302
2013324N07103,2013-11-27 09:00:00,2013-11-26 09:00:00,2013-11-28 09:00:00,14.0,85.5,120.4,14.2,84.6,101.9,14.7,83.6,74.1,15.5,81.4,46.3,CLEAN,CLEAN,train,303
2013324N07103,2013-11-27 12:00:00,2013-11-26 12:00:00,2013-11-28 12:00:00,14.2,85.1,101.9,14.6,84.1,83.3,15.1,82.5,55.6,15.5,81.0,37.0,CLEAN,CLEAN,train,304
2013339N09084,2013-12-07 03:00:00,2013-12-06 03:00:00,2013-12-08 03:00:00,10.4,84.2,64.8,10.7,84.3,101.9,11.0,84.5,101.9,12.1,84.6,111.1,CLEAN,CLEAN,train,318
2013339N09084,2013-12-07 06:00:00,2013-12-06 06:00:00,2013-12-08 06:00:00,10.5,84.3,83.3,10.9,84.4,101.9,11.3,84.5,101.9,12.4,84.7,120.4,CLEAN,CLEAN,train,319
2013339N09084,2013-12-07 09:00:00,2013-12-06 09:00:00,2013-12-08 09:00:00,10.7,84.3,101.9,11.0,84.5,101.9,11.5,84.5,101.9,12.6,84.7,120.4,CLEAN,CLEAN,train,320
2013339N09084,2013-12-07 12:00:00,2013-12-06 12:00:00,2013-12-08 12:00:00,10.9,84.4,101.9,11.3,84.5,101.9,11.9,84.6,111.1,13.0,84.7,120.4,CLEAN,CLEAN,train,321
